Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.flagged
213408329,"28 Oct 2014, 08:36:39",Morning Run,Run,,1844,6.02,,false,,activities/213408329.gpx,70.0,,1844.0,1844.0,6027.89990234375,8.699999809265137,,79.9845962524414,,59.20000076293945,96.5999984741211,23.399999618530273,0.001658950001001358,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213412635,"30 Oct 2014, 08:17:14",Ill stick insect,Run,,899,2.79,,false,,activities/213412635.gpx,70.0,,899.0,861.0,2790.699951171875,5.699999809265137,,33.14149856567383,,60.0,94.30000305175781,9.0,0.5052499771118164,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213782738,"31 Oct 2014, 08:20:17",Another ill stick insect ,Run,,282,0.92,,false,,activities/213782738.gpx,70.0,,282.0,275.0,927.7999877929688,5.599999904632568,,17.871999740600586,,60.0,78.5,7.699999809265137,1.3688299655914307,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219420733,"13 Nov 2014, 16:30:00",Wattbike ,Ride,,1992,20.00,,false,,,70.0,,1992.0,1992.0,20000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219837354,"16 Nov 2014, 08:30:00",Trent Park Run,Run,"",3000,9.70,,,,,70.0,,3000.0,3000.0,9700.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221513240,"16 Nov 2014, 09:54:40",Morning Run,Run,,1067,3.40,,false,,activities/221513240.gpx,70.0,,1067.0,1067.0,3402.39990234375,4.699999809265137,,45.09550094604492,36.295501708984375,56.599998474121094,90.0,9.199999809265137,0.25864100456237793,,,,,,,,,298.6528015136719,,,,,,,,,,,,,,,,0.0,,,3472.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,
221517784,"21 Nov 2014, 08:29:05",Morning Run,Run,,1379,4.82,,false,,activities/221517784.gpx,70.0,,1379.0,1371.0,4828.89990234375,5.599999904632568,,35.464298248291016,,60.0,97.0999984741211,9.399999618530273,-0.035204701125621796,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222987708,"25 Nov 2014, 08:16:30",Morning Run,Run,,2078,6.08,,false,,activities/222987708.gpx,70.0,,2078.0,2072.0,6082.60009765625,7.300000190734863,,85.24120330810547,,59.0,96.5,23.100000381469727,-0.0049320999532938,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223459747,"26 Nov 2014, 22:00:00",3x10 lengths,Swim,"",1200,750,,false,,,,,1200.0,1200.0,750.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223652365,"27 Nov 2014, 08:16:34",Morning Run ft Fog,Run,,1797,6.00,,false,,activities/223652365.gpx,70.0,,1797.0,1791.0,6008.7998046875,9.399999618530273,,85.10820007324219,,59.5,96.80000305175781,22.100000381469727,-0.01997070014476776,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
